9×8 DataFrame
 Row │ parameters  mean       std       naive_se    mcse        ess      rhat     ess_per_sec
     │ Symbol      Float64    Float64   Float64     Float64     Float64  Float64  Float64
─────┼────────────────────────────────────────────────────────────────────────────────────────
   1 │ α            70.9202   5.33286   0.0596232   0.127038    1557.59  0.99995      32.6587
   2 │ β[1]          3.23581  1.25415   0.0140218   0.023304    3224.24  1.00135      67.604
   3 │ β[2]        -11.6113   1.24938   0.0139685   0.0228865   2929.34  1.00231      61.4208
   4 │ β[3]          7.20121  1.26355   0.0141269   0.0228724   3419.05  1.00111      71.6888
   5 │ β[4]          1.23636  1.25291   0.0140079   0.0202693   3546.94  1.00106      74.3703
   6 │ σ             5.99912  0.269684  0.00301516  0.00323454  5381.43  0.99992     112.835
   7 │ τ             6.60777  6.68737   0.0747671   0.148843    1579.61  1.00167      33.1204
   8 │ αⱼ[1]        -3.67621  5.22431   0.0584096   0.125214    1520.63  1.00025      31.8836
   9 │ αⱼ[2]         3.49673  5.21951   0.0583559   0.125978    1529.61  1.00016      32.072
